Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2;P(1);P(X);P(2);Top1;Top2;Top3;P(Top1);P(Top2);P(Top3)
853;10;GOIAS/GO;BOTAFOGO/RJ;Domingo;1;0;0;2,1;3,25;3,6;0,44853364;0,289821737;0,261644623;1;0;0;0,44853364;0,289821737;0,261644623
853;11;INTERNACIONAL/RS;CSA/AL;Domingo;1;0;0;1,25;5,5;12;0,751066856;0,170697013;0,078236131;1;0;0;0,751066856;0,170697013;0,078236131
853;12;VASCO DA GAMA/RJ;AVAI/SC;Domingo;0;1;0;1,75;3,5;4,75;0,535211268;0,267605634;0,197183099;0;1;0;0,535211268;0,267605634;0,197183099
853;13;ABC/RN;BOTAFOGO/PB;Domingo;0;0;1;2,44;3,22;2,93;0,38602162;0,292513277;0,321465103;0;1;0;0,38602162;0,321465103;0,292513277
853;14;FLUMINENSE/RJ;CRUZEIRO/MG;Sábado;1;0;0;2,7;3;2,7;0,344827586;0,310344828;0,344827586;1;0;0;0,344827586;0,344827586;0,310344828
852;1;CORINTHIANS/SP;GREMIO/RS;Sábado;0;1;0;2,9;3;2,5;0,319829424;0,309168443;0,371002132;0;0;1;0,371002132;0,319829424;0,309168443
852;2;INTERNACIONAL/RS;CRUZEIRO/MG;Domingo;1;0;0;2,2;3,2;3,4;0,428346457;0,294488189;0,277165354;1;0;0;0,428346457;0,294488189;0,277165354
852;3;FLUMINENSE/RJ;BOTAFOGO/RJ;Sábado;0;0;1;2,2;3,1;3,5;0,427670477;0,30350808;0,268821443;0;0;1;0,427670477;0,30350808;0,268821443
852;4;SPORT/PE;FIGUEIRENSE/SC;Sábado;0;1;0;1,66;3,25;5,5;0,551697531;0,281790123;0,166512346;0;1;0;0,551697531;0,281790123;0,166512346
852;5;CONFIANCA/SE;ABC/RN;Domingo;1;0;0;2,79;2,75;2,54;0,321236565;0,325909097;0,352854337;0;0;1;0,352854337;0,325909097;0,321236565
852;6;PAYSANDU/PA;JUVENTUDE/RS;Sábado;0;0;1;1,73;3,5;5,05;0,544407312;0,269092757;0,186499931;0;0;1;0,544407312;0,269092757;0,186499931
852;7;NAUTICO/PE;FERROVIARIO/CE;Domingo;0;0;1;1,82;3,58;3,46;0,491547485;0,249892855;0,25855966;0;1;0;0,491547485;0,25855966;0,249892855
852;8;FORTALEZA/CE;SAO PAULO/SP;Domingo;0;0;1;3;3,2;2,4;0,31372549;0,294117647;0,392156863;1;0;0;0,392156863;0,31372549;0,294117647
852;9;GOIAS/GO;CEARA/CE;Sábado;1;0;0;2,05;3;4;0,45540797;0,311195446;0,233396584;1;0;0;0,45540797;0,311195446;0,233396584
852;10;FLAMENGO/RJ;CHAPECOENSE/SC;Domingo;1;0;0;1,4;4,33;8;0,66741166;0,215791299;0,116797041;1;0;0;0,66741166;0,215791299;0,116797041
852;11;ATLETICO/MG;PALMEIRAS/SP;Domingo;0;0;1;3;3,2;2,4;0,31372549;0,294117647;0,392156863;1;0;0;0,392156863;0,31372549;0,294117647
852;12;ATHLETICO/PR;BAHIA/BA;Domingo;1;0;0;1,66;3,6;5,25;0,56265071;0,259444494;0,177904796;1;0;0;0,56265071;0,259444494;0,177904796
852;13;SANTOS/SP;VASCO DA GAMA/RJ;Domingo;1;0;0;1,4;4,5;8;0,672897196;0,209345794;0,117757009;1;0;0;0,672897196;0,209345794;0,117757009
852;14;AVAI/SC;CSA/AL;Domingo;0;1;0;1,7;3,6;5;0,551808706;0,260576334;0,18761496;0;1;0;0,551808706;0,260576334;0,18761496
851;1;GREMIO/RS;FLUMINENSE/RJ;Domingo;0;0;1;1,5;3,8;7,5;0,627062706;0,247524752;0,125412541;0;0;1;0,627062706;0,247524752;0,125412541
851;2;SAO PAULO/SP;FLAMENGO/RJ;Domingo;0;1;0;1,8;3,5;4,5;0,52238806;0,268656716;0,208955224;0;1;0;0,52238806;0,268656716;0,208955224
851;3;VASCO DA GAMA/RJ;CORINTHIANS/SP;Sábado;0;1;0;3;3,2;2,45;0,316256555;0,29649052;0,387252925;0;0;1;0,387252925;0,316256555;0,29649052
